TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF FEB 24, 2014 (B)",Netflix-Square : Online,408.6,0,0,0,0,408.6,0,0,0,0,0,0
"WEEK OF MAR 03, 2014 (B)",Netflix : Online,246.7,157.6,29.2,47.4,12.6,0,0,0,0,0,0,0
"WEEK OF MAR 03, 2014 (B)",Netflix-House Of Cards : Online,341.2,0,6.7,0,0,334.4,0,0,0,0,0,0
"WEEK OF MAR 10, 2014 (B)",Netflix : Online,866.5,109.2,386.8,358.5,12,0,0,0,0,0,0,0
"WEEK OF MAR 17, 2014 (B)",Netflix : Online,3402.2,1821.9,1305.5,263.4,11.3,0,0,0,0,0,0,0
"WEEK OF MAR 24, 2014 (B)",Netflix : Online,5752.4,2785.7,2823.9,131.1,11.7,0,0,0,0,0,0,0
"WEEK OF MAR 31, 2014 (B)",Netflix : Online,2343.7,21.1,1797.1,475.3,0.5,0,0,0,0,0,0,49.8
"WEEK OF MAR 31, 2014 (B)",Netflix-Turbo Fast : Online,15.7,0,0,0,0,0,0,0,0,0,0,15.7
"WEEK OF APR 07, 2014 (B)",Netflix : Online,1597.2,1511.8,12.7,72.6,0.1,0,0,0,0,0,0,0
"WEEK OF APR 14, 2014 (B)",Netflix : Online,732.8,0,395.4,140.2,0.2,197,0,0,0,0,0,0
"WEEK OF APR 21, 2014 (B)",Netflix : Online,860.8,40.3,416.9,389,14.6,0,0,0,0,0,0,0
"WEEK OF APR 28, 2014 (B)",Netflix : Online,995.7,74.1,3.9,96.6,8.7,0,0,0,0,0,0,812.4
"WEEK OF APR 28, 2014 (B)",Netflix-Turbo Fast : Online,2,0,0,0,0,0,0,0,0,0,0,2
"WEEK OF MAY 05, 2014 (B)",Netflix : Online,282.5,57,187,29.4,9.1,0,0,0,0,0,0,0
"WEEK OF MAY 05, 2014 (B)",Netflix Inc : Corporate Promotion,444.3,0,0,0,0,444.3,0,0,0,0,0,0
"WEEK OF MAY 12, 2014 (B)",Netflix : Online,1153.5,126.2,436.9,98.7,7.4,484.4,0,0,0,0,0,0
"WEEK OF MAY 12, 2014 (B)",Netflix-Orange Is The New Black : Online,814,814,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 19, 2014 (B)",Netflix : Online,305.8,48,79.6,175,3.2,0,0,0,0,0,0,0
"WEEK OF MAY 19, 2014 (B)",Netflix-Orange Is The New Black : Online,1573.3,1361,0,205.8,6.5,0,0,0,0,0,0,0
"WEEK OF MAY 26, 2014 (B)",Netflix : Online,466.6,0,139.2,0,0,0,0,0,0,0,0,327.4
"WEEK OF MAY 26, 2014 (B)",Netflix-Battered Bastards Of Baseball : Online,0.5,0,0,0,0,0,0,0,0,0,0,0.5
"WEEK OF MAY 26, 2014 (B)",Netflix-Derek : Online,144.4,0,0,0,0,0,0,0,125.4,0,0,19
"WEEK OF MAY 26, 2014 (B)",Netflix-Orange Is The New Black : Online,2400.7,1013.4,435.9,328.8,15.6,606.9,0,0,0,0,0,0
"WEEK OF MAY 26, 2014 (B)",Netflix.ca : Online,19.4,0,0,0,0,0,0,0,0,0,0,19.4
"WEEK OF JUN 02, 2014 (B)",Netflix : Online,274.4,260,11.8,0,0,0,0,0,2.6,0,0,0
"WEEK OF JUN 02, 2014 (B)",Netflix-Orange Is The New Black : Online,1400.1,640.8,349.8,228.5,20.7,0,0,160.3,0,0,0,0
"WEEK OF JUN 09, 2014 (B)",Netflix : Online,424.4,260,164.4,0,0,0,0,0,0,0,0,0
"WEEK OF JUN 09, 2014 (B)",Netflix-House Of Cards : Online,285.7,0,0,0,0,0,0,160.3,125.4,0,0,0
"WEEK OF JUN 09, 2014 (B)",Netflix-Orange Is The New Black : Online,2046.9,510.8,289,697.1,13.1,394,0,142.9,0,0,0,0
"WEEK OF JUN 16, 2014 (B)",Netflix : Online,881.6,369.9,432.2,79.2,0.4,0,0,0,0,0,0,0
"WEEK OF JUN 16, 2014 (B)",Netflix-Orange Is The New Black : Online,2889.8,455.7,188.7,675.1,9.7,1560.6,0,0,0,0,0,0
"WEEK OF JUN 23, 2014 (B)",Netflix : Online,2513.5,2253.7,259.6,0,0.2,0,0,0,0,0,0,0
"WEEK OF JUN 23, 2014 (B)",Netflix-Orange Is The New Black : Online,853.4,575.4,161.2,116.4,0.4,0,0,0,0,0,0,0
"WEEK OF JUN 30, 2014 (B)",Netflix : Online,1232.3,21.5,80.6,779.7,0.4,0,0,0,0,0,0,350.2
"WEEK OF JUN 30, 2014 (B)",Netflix-Battered Bastards Of Baseball : Online,13.6,0,0,0,0,0,0,0,0,0,0,13.6
"WEEK OF JUN 30, 2014 (B)",Netflix-Hemlock Grove : Online,65.1,0,0,0,0,0,0,0,0,0,0,65.1
"WEEK OF JUN 30, 2014 (B)",Netflix-Orange Is The New Black : Online,2116.3,0,0,0,0,2116.3,0,0,0,0,0,0
"WEEK OF JUL 07, 2014 (B)",Netflix : Online,732.1,551.2,141.6,29,10.3,0,0,0,0,0,0,0
"WEEK OF JUL 07, 2014 (B)",Netflix-Battered Bastards Of Baseball : Online,11.8,0,0,0,11.8,0,0,0,0,0,0,0
"WEEK OF JUL 07, 2014 (B)",Netflix-Hemlock Grove : Online,644.1,145.8,182.4,303.8,12.1,0,0,0,0,0,0,0
"WEEK OF JUL 07, 2014 (B)",Netflix-Orange Is The New Black : Online,4.3,0,4.3,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 14, 2014 (B)",Netflix : Online,156,35.3,116.7,0,4,0,0,0,0,0,0,0
"WEEK OF JUL 14, 2014 (B)",Netflix-Hemlock Grove : Online,523,21.5,139,355.9,6.7,0,0,0,0,0,0,0
"WEEK OF JUL 21, 2014 (B)",Netflix : Online,157,0,157,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 21, 2014 (B)",Netflix-Hemlock Grove : Online,542.3,0,147.4,0,0.9,394,0,0,0,0,0,0
"WEEK OF JUL 21, 2014 (B)",Netflix-House Of Cards & Orange Is The New Black : Online,160.3,0,0,0,0,0,0,160.3,0,0,0,0
"WEEK OF JUL 21, 2014 (B)",Netflix-Killing : Online,272.1,19.2,3.7,241.3,7.9,0,0,0,0,0,0,0
