TIME PERIOD,PRODUCT,TOTAL DOLS (000),NETWORK TV DOLS (000),CABLE TV DOLS (000),SYNDICATION DOLS (000),SPOT TV DOLS (000),MAGAZINES DOLS (000),SUNDAY MAGS DOLS (000),NATL NEWSP DOLS (000),NEWSPAPER DOLS (000),NETWORK RADIO DOLS (000),NAT SPOT RADIO DOLS (000),OUTDOOR DOLS (000)
"WEEK OF MAR 09, 2015 (B)",Netflix-Aziz Ansari Live At Madison Square Garden : Online,620.5,51.4,0,267.6,0,301.5,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Netflix-Daredevil : Online,271.2,271.2,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Netflix-House Of Cards : Online,1113.4,162.8,252.7,0,20.1,677.8,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Netflix-Pac-Man & The Ghostly Adventures : Online,21.8,0,21.8,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 09, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,883.9,0,181,578.7,3.5,120.7,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Netflix-Aziz Ansari Live At Madison Square Garden : Online,101,0,0,101,0,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Netflix-Bloodline & Unbreakable Kimmy Schmidt : Online,409.8,0,0,0,0,409.8,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Netflix-Bloodline : Online,1349.6,1219.1,22.4,100,8.1,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Netflix-House Of Cards : Online,0.4,0,0.4,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 16, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,1494.7,0,222.3,509,0.4,763,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Netflix : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Netflix-Aziz Ansari Live At Madison Square Garden : Online,424.2,0,0,202,0,222.2,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Netflix-Bloodline : Online,710.9,568.4,83.2,50.2,9.2,0,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Netflix-Daredevil : Online,77.1,0,77.1,0,0,0,0,0,0,0,0,0
"WEEK OF MAR 23, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,649.8,0,41.2,443.3,0.1,165.2,0,0,0,0,0,0
"WEEK OF MAR 30, 2015 (B)",Netflix : Online,926.5,0,0,0,0.3,0,0,0,0,0,0,926.2
"WEEK OF MAR 30, 2015 (B)",Netflix-Bloodline : Online,1461.2,266.7,69.3,116.4,8.8,1000,0,0,0,0,0,0
"WEEK OF MAR 30, 2015 (B)",Netflix-Chefs Table : Online,6.5,0,0,0,0,0,0,0,0,0,0,6.5
"WEEK OF MAR 30, 2015 (B)",Netflix-Daredevil : Online,335.4,28.7,90.9,0,0,0,0,0,0,0,0,215.8
"WEEK OF MAR 30, 2015 (B)",Netflix-Derek : Online,20.4,0,0,0,0,0,0,0,0,0,0,20.4
"WEEK OF MAR 30, 2015 (B)",Netflix-House Of Cards : Online,217.4,0,0,0,0,217.4,0,0,0,0,0,0
"WEEK OF MAR 30, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,494.8,0,0,0,0,494.8,0,0,0,0,0,0
"WEEK OF APR 06, 2015 (B)",Netflix : Online,0.3,0,0,0,0.3,0,0,0,0,0,0,0
"WEEK OF APR 06, 2015 (B)",Netflix-Bloodline : Online,747.4,647.8,87.2,12.4,0,0,0,0,0,0,0,0
"WEEK OF APR 06, 2015 (B)",Netflix-Daredevil : Online,358.5,275.4,83.1,0,0,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Netflix : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Netflix-Bloodline : Online,209.3,209.2,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF APR 13, 2015 (B)",Netflix-Daredevil : Online,1285.7,815.9,77,187.8,0.1,204.9,0,0,0,0,0,0
"WEEK OF APR 20, 2015 (B)",Netflix-Bloodline : Online,0,0,0,0,0,0,0,0,0,0,0,0
"WEEK OF APR 20, 2015 (B)",Netflix-Daredevil : Online,586.4,379,72.3,121.2,13.9,0,0,0,0,0,0,0
"WEEK OF APR 27, 2015 (B)",Netflix : Online,294.7,0,0,0,0,0,0,0,0,0,0,294.7
"WEEK OF APR 27, 2015 (B)",Netflix-Chefs Table : Online,741.9,0,0,0,0,567.5,0,160.3,0,0,0,14.1
"WEEK OF APR 27, 2015 (B)",Netflix-Daredevil : Online,497.9,55.9,88.3,72.8,10.5,0,0,142.9,125.4,0,0,2.1
"WEEK OF APR 27, 2015 (B)",Netflix-Derek : Online,0.8,0,0,0,0,0,0,0,0,0,0,0.8
"WEEK OF APR 27, 2015 (B)",Netflix-Grace & Frankie : Online,60,0,0,0,0,0,0,0,0,0,0,60
"WEEK OF MAY 04, 2015 (B)",Netflix-Chefs Table : Online,431,0,0,0,0,305.7,0,0,125.4,0,0,0
"WEEK OF MAY 04, 2015 (B)",Netflix-Daredevil : Online,444.3,0,0,0,0,444.3,0,0,0,0,0,0
"WEEK OF MAY 04, 2015 (B)",Netflix-Grace & Frankie : Online,202.9,75.2,0,24.1,0,0,0,0,103.6,0,0,0
"WEEK OF MAY 04, 2015 (B)",Netflix-Halt & Catch Fire : Online,25,0,25,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 11, 2015 (B)",Netflix-Grace & Frankie : Online,881.1,108.4,90.8,215,0,466.9,0,0,0,0,0,0
"WEEK OF MAY 11, 2015 (B)",Netflix-Halt & Catch Fire : Online,9.4,0,9.4,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 11, 2015 (B)",Netflix-Orange Is The New Black : Online,1195.7,815.3,186.7,180.8,13,0,0,0,0,0,0,0
"WEEK OF MAY 11, 2015 (B)",Netflix-Rectify : Online,5.6,0,5.6,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 18, 2015 (B)",Netflix-Grace & Frankie : Online,99.2,43.1,32,24.1,0,0,0,0,0,0,0,0
"WEEK OF MAY 18, 2015 (B)",Netflix-Halt & Catch Fire : Online,27.1,0,27.1,0,0,0,0,0,0,0,0,0
"WEEK OF MAY 18, 2015 (B)",Netflix-Orange Is The New Black : Online,310.1,274.2,0.1,28.2,7.6,0,0,0,0,0,0,0
"WEEK OF MAY 18, 2015 (B)",Netflix-Other One The Long Strange Trip Of Bob Weir : Online,125.4,0,0,0,0,0,0,0,125.4,0,0,0
"WEEK OF MAY 25, 2015 (B)",Netflix-Bloodline : Online,25.8,0,0,0,0,0,0,0,25.8,0,0,0
"WEEK OF MAY 25, 2015 (B)",Netflix-Grace & Frankie : Online,29.7,0,0,0,0.3,0,0,0,29.4,0,0,0
"WEEK OF MAY 25, 2015 (B)",Netflix-House Of Cards : Online,23.7,0,0,0,0,0,0,0,23.7,0,0,0
"WEEK OF MAY 25, 2015 (B)",Netflix-Jim Jefferies Bare : Online,29.4,0,0,0,0,0,0,0,29.4,0,0,0
"WEEK OF MAY 25, 2015 (B)",Netflix-Orange Is The New Black : Online,420.7,277.2,0.1,108.1,9.5,0,0,0,25.8,0,0,0
"WEEK OF MAY 25, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,25.8,0,0,0,0,0,0,0,25.8,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix : Online,809,0,0,0,0,0,0,0,0,0,0,809
"WEEK OF JUN 01, 2015 (B)",Netflix-Bloodline : Online,1.7,0,0,0,0,0,0,0,1.7,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix-Chefs Table : Online,129,0,0,0,0,129,0,0,0,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix-Daredevil : Online,25.8,0,0,0,0,0,0,0,25.8,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix-Derek : Online,16.3,0,0,0,0,0,0,0,16.3,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix-Grace & Frankie : Online,1.7,0,0,0,0,0,0,0,1.7,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix-House Of Cards : Online,31.2,0,0,0,0,0,0,0,31.2,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix-Jim Jefferies Bare : Online,29.4,0,0,0,0,0,0,0,29.4,0,0,0
"WEEK OF JUN 01, 2015 (B)",Netflix-Orange Is The New Black : Online,1170.9,75.2,1.1,640.8,11,0,0,0,0,0,0,442.9
"WEEK OF JUN 01, 2015 (B)",Netflix-Other One The Long Strange Trip Of Bob Weir : Online,11.1,0,0,0,0,0,0,0,0,0,11.1,0
"WEEK OF JUN 01, 2015 (B)",Netflix-Sense 8 : Online,541,12.1,37.1,338.8,1.3,0,0,0,0,0,0,151.7
"WEEK OF JUN 01, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,1.7,0,0,0,0,0,0,0,1.7,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix : Online,66.6,0,21.6,0,44.9,0,0,0,0,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Aziz Ansari Live At Madison Square Garden : Online,10.8,0,0,0,0,0,0,10.8,0,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Bloodline : Online,1.7,0,0,0,0,0,0,0,1.7,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Daredevil : Online,10.8,0,0,0,0,0,0,10.8,0,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Fall : Online,1.7,0,0,0,0,0,0,0,1.7,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Grace & Frankie : Online,153.3,0,0,0,8.7,0,0,142.9,1.7,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-House Of Cards : Online,12.2,0,0,0,8.5,0,0,0,3.7,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Orange Is The New Black : Online,751.8,158.9,17.4,87.1,16.2,466.9,0,0,5.2,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Other One The Long Strange Trip Of Bob Weir : Online,11.1,0,0,0,0,0,0,0,0,0,11.1,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Sense 8 : Online,765.9,356.7,76,326.2,7,0,0,0,0,0,0,0
"WEEK OF JUN 08, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,47.2,0,0,0,7,0,0,10.8,29.4,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix : Online,64.7,0,13.1,0,51.6,0,0,0,0,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Aziz Ansari Live At Madison Square Garden : Online,2,0,0,0,0,0,0,0,2,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Bloodline : Online,31.2,0,0,0,0,0,0,0,31.2,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Daredevil : Online,3.5,0,0,0,0,0,0,0,3.5,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Grace & Frankie : Online,17.2,0,0,0,15.4,0,0,0,1.7,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-House Of Cards : Online,44.5,0,0,0,15.5,0,0,10.8,18.2,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Jim Jefferies Bare : Online,29.4,0,0,0,0,0,0,0,29.4,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Orange Is The New Black : Online,1252.1,447.5,157.4,486.2,16.3,0,0,142.9,1.7,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Other One The Long Strange Trip Of Bob Weir : Online,11.1,0,0,0,0,0,0,0,0,0,11.1,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Sense 8 : Online,355.5,62.7,80.7,205.4,6.7,0,0,0,0,0,0,0
"WEEK OF JUN 15, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,62.2,0,0,0,15.8,0,0,0,46.4,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix : Online,66.7,0,15.1,0,51.6,0,0,0,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Bloodline : Online,10.8,0,0,0,0,0,0,10.8,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Derek : Online,29.4,0,0,0,0,0,0,0,29.4,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Dreamworks Dragons Race To The Edge : Online,309.3,44.9,137.2,127.2,0,0,0,0,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Grace & Frankie : Online,21.7,0,0,0,10.9,0,0,10.8,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-House Of Cards : Online,155.4,0,0,0,12.5,0,0,142.9,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Orange Is The New Black : Online,403.6,12.1,153.1,226.3,12,0,0,0,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Other One The Long Strange Trip Of Bob Weir : Online,11.1,0,0,0,0,0,0,0,0,0,11.1,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Sense 8 : Online,307.7,166.8,77,55.8,8.1,0,0,0,0,0,0,0
"WEEK OF JUN 22, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,9.7,0,0,0,9.7,0,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Netflix : Online,668,0,17.2,0,44.6,0,0,0,0,0,0,606.3
"WEEK OF JUN 29, 2015 (B)",Netflix-Dreamworks Dragons Race To The Edge : Online,224.8,43.5,106.3,74.8,0.2,0,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Netflix-Grace & Frankie : Online,688.6,27.7,47.3,367.6,0,246,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Netflix-Orange Is The New Black : Online,498,0,0,0,0,498,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Netflix-Other One The Long Strange Trip Of Bob Weir : Online,3.2,0,0,0,0,0,0,0,0,0,3.2,0
"WEEK OF JUN 29, 2015 (B)",Netflix-Sense 8 : Online,246.8,190.4,56.3,0,0.2,0,0,0,0,0,0,0
"WEEK OF JUN 29, 2015 (B)",Netflix-Wet Hot American Summer : Online,9.8,0,0,0,0,0,0,0,0,0,0,9.8
"WEEK OF JUL 06, 2015 (B)",Netflix : Online,41,0,0,0,41,0,0,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Netflix-Dreamworks Dragons Race To The Edge : Online,32.5,0,32.5,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Netflix-Grace & Frankie : Online,207.4,0,23.6,183.8,0,0,0,0,0,0,0,0
"WEEK OF JUL 06, 2015 (B)",Netflix-Sense 8 : Online,164.1,164.1,0,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Netflix : Online,32.6,0,0,0,32.6,0,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Netflix-Chris Tucker Live : Online,299.4,12.3,0,55.8,9.1,222.2,0,0,0,0,0,0
"WEEK OF JUL 13, 2015 (B)",Netflix-Dreamworks Dragons Race To The Edge : Online,57.5,33.6,23.9,0,0,0,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Netflix : Online,30.1,0,0,0,30.1,0,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Netflix-Chris Tucker Live : Online,291.3,76.4,0,0,10,204.9,0,0,0,0,0,0
"WEEK OF JUL 20, 2015 (B)",Netflix-Wet Hot American Summer : Online,430.3,260.6,3.7,153.3,12.7,0,0,0,0,0,0,0
"WEEK OF JUL 27, 2015 (B)",Netflix : Online,982,0,0,0,19.7,0,0,0,0,0,0.5,961.8
"WEEK OF JUL 27, 2015 (B)",Netflix-El Chapulin Colorado : Online,26.8,0,0,0,26.8,0,0,0,0,0,0,0
"WEEK OF JUL 27, 2015 (B)",Netflix-Wet Hot American Summer : Online,1007.8,344.8,0.7,616.7,0.4,0,0,0,0,0,0,45.2
"WEEK OF AUG 03, 2015 (B)",Netflix : Online,1.9,0,0,0,0,0,0,0,0,0,1.9,0
"WEEK OF AUG 03, 2015 (B)",Netflix-El Chapulin Colorado : Online,24.1,0,0,0,24.1,0,0,0,0,0,0,0
"WEEK OF AUG 03, 2015 (B)",Netflix-Wet Hot American Summer : Online,852.6,322.6,0,246.8,16.8,266.4,0,0,0,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix : Online,1.9,0,0,0,0,0,0,0,0,0,1.9,0
"WEEK OF AUG 10, 2015 (B)",Netflix-Bloodline : Online,23.7,0,0,0,2.7,0,0,0,21,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-Dreamworks Dinotrux : Online,44.9,0,44.9,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-El Chapulin Colorado : Online,44.2,0,0,0,44.2,0,0,0,0,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-Grace & Frankie : Online,7.6,0,0,0,7.6,0,0,0,0,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-House Of Cards : Online,69.1,0,0,0,31.7,0,0,0,37.4,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-Orange Is The New Black : Online,13.2,0,0,0,10.5,0,0,0,2.7,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,43.8,0,0,0,20.3,0,0,0,23.5,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-Virunga : Online,1.9,0,0,0,1.9,0,0,0,0,0,0,0
"WEEK OF AUG 10, 2015 (B)",Netflix-Wet Hot American Summer : Online,496.4,483.4,0,0,13,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix : Online,1.9,0,0,0,0,0,0,0,0,0,1.9,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Bloodline : Online,42.5,0,0,0,27.1,0,0,10.8,4.7,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Daredevil : Online,1.1,0,0,0,1.1,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Dreamworks Dinotrux : Online,104.5,0,104.5,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-El Chapulin Colorado : Online,41,0,0,0,41,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Grace & Frankie : Online,31.5,0,0,0,15.8,0,0,10.8,5,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Hot Girls Wanted : Online,1,0,0,0,1,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-House Of Cards : Online,72,0,0,0,54.3,0,0,10.8,6.9,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Narcos : Online,315.1,301.9,0,13.2,0,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Orange Is The New Black : Online,21.4,0,0,0,16.6,0,0,0,4.8,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,205.2,0,0,0,49.8,0,0,153.7,1.7,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Virunga : Online,13.5,0,0,0,13.5,0,0,0,0,0,0,0
"WEEK OF AUG 17, 2015 (B)",Netflix-Wet Hot American Summer : Online,83.9,75.6,0,8.3,0,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix : Online,1.9,0,0,0,0,0,0,0,0,0,1.9,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Bloodline : Online,11.3,0,0,0,11.3,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Daredevil : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Dreamworks Dinotrux : Online,12.1,0,12.1,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-El Chapulin Colorado : Online,37.5,0,0,0,37.5,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Grace & Frankie : Online,16.1,0,0,0,16.1,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Hot Girls Wanted : Online,1.2,0,0,0,1.2,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-House Of Cards : Online,67.9,13.9,5.2,0,42.5,0,0,0,6.3,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Narcos : Online,1157.7,600,0,538.6,19.2,0,0,0,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Orange Is The New Black : Online,27.3,0,0,0,16.5,0,0,10.8,0,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Unbreakable Kimmy Schmidt : Online,48,0,0,0,43.5,0,0,0,4.5,0,0,0
"WEEK OF AUG 24, 2015 (B)",Netflix-Virunga : Online,17.7,0,0,0,6.9,0,0,10.8,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Netflix : Online,141.9,0,0,0,0.3,0,0,0,0,0,0.3,141.3
"WEEK OF AUG 31, 2015 (B)",Netflix-El Chapulin Colorado : Online,43.9,0,0,0,43.9,0,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Netflix-Keith Richards Under The Influence : Online,4.9,0,0,0,0,0,0,0,0,0,4.9,0
"WEEK OF AUG 31, 2015 (B)",Netflix-Lo Que La Vida Me Robo : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Netflix-Longmire : Online,29.4,29.4,0,0,0,0,0,0,0,0,0,0
"WEEK OF AUG 31, 2015 (B)",Netflix-Narcos : Online,132.4,58.1,0,74.3,0,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Netflix : Online,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Netflix-El Chapulin Colorado : Online,48.2,0,0,0,48.2,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Netflix-House Of Cards : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Netflix-Keith Richards Under The Influence : Online,5.8,0,0,0,0,0,0,0,0,0,5.8,0
"WEEK OF SEP 07, 2015 (B)",Netflix-Lo Que La Vida Me Robo : Online,0.5,0,0,0,0.5,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Netflix-Longmire : Online,213,140.8,7.9,64.3,0,0,0,0,0,0,0,0
"WEEK OF SEP 07, 2015 (B)",Netflix-Narcos : Online,469.2,295.1,0,164.6,9.5,0,0,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Netflix-El Chapulin Colorado : Online,28.1,0,0,0,28.1,0,0,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Netflix-Keith Richards Under The Influence : Online,5.8,0,0,0,0,0,0,0,0,0,5.8,0
"WEEK OF SEP 14, 2015 (B)",Netflix-Lo Que La Vida Me Robo : Online,0.1,0,0,0,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Netflix-Longmire : Online,122.2,111,11.1,0,0.1,0,0,0,0,0,0,0
"WEEK OF SEP 14, 2015 (B)",Netflix-Narcos : Online,199.3,148,0,34.3,17,0,0,0,0,0,0,0
"WEEK OF SEP 21, 2015 (B)",Netflix-El Chapulin Colorado : Online,26.1,0,0,0,26.1,0,0,0,0,0,0,0
"WEEK OF SEP 21, 2015 (B)",Netflix-House Of Cards : Online,0.2,0,0,0,0.2,0,0,0,0,0,0,0
"WEEK OF SEP 21, 2015 (B)",Netflix-Keith Richards Under The Influence : Online,5.8,0,0,0,0,0,0,0,0,0,5.8,0
"WEEK OF SEP 21, 2015 (B)",Netflix-Longmire : Online,90.7,64.9,0,25.8,0,0,0,0,0,0,0,0
"WEEK OF SEP 21, 2015 (B)",Netflix-Narcos : Online,140.3,122.7,0,0,17.6,0,0,0,0,0,0,0
"WEEK OF SEP 28, 2015 (B)",Netflix : Online,500.3,0,0,0,0,0,0,0,0,0,0,500.3
"WEEK OF SEP 28, 2015 (B)",Netflix-Beasts Of No Nation : Online,45.6,0,0,0,0,0,0,0,0,0,0,45.6
"WEEK OF SEP 28, 2015 (B)",Netflix-Derek : Online,18.5,0,0,0,0,0,0,0,0,0,0,18.5
"WEEK OF SEP 28, 2015 (B)",Netflix-Keith Richards Under The Influence : Online,2.5,0,0,0,0,0,0,0,0,0,2.5,0
"WEEK OF OCT 05, 2015 (B)",Netflix-Keith Richards Under The Influence : Online,222.2,0,0,0,0,222.2,0,0,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Netflix-Longmire : Online,345.9,0,0,0,0,345.9,0,0,0,0,0,0
"WEEK OF OCT 05, 2015 (B)",Netflix-Winter On Fire : Online,71.8,0,0,0,0,0,0,71.8,0,0,0,0
"WEEK OF OCT 12, 2015 (B)",Netflix-Beasts Of No Nation : Online,333.9,0,0,0,37.7,0,0,285.8,10.4,0,0,0
"WEEK OF OCT 19, 2015 (B)",Netflix : Online,3.5,0,0,0,3.5,0,0,0,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Netflix-Beasts Of No Nation : Online,199,0,0,0,56.1,0,0,142.9,0,0,0,0
"WEEK OF OCT 19, 2015 (B)",Netflix-La Familia PLuche : Online,23.8,0,0,0,23.8,0,0,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Netflix : Online,853,0,0,0,6.8,0,0,0,0,0,0,846.3
"WEEK OF OCT 26, 2015 (B)",Netflix-La Familia PLuche : Online,35.8,0,0,0,35.8,0,0,0,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Netflix-Ridiculous 6 : Online,5.6,0,0,0,0,0,0,0,0,0,0,5.6
"WEEK OF OCT 26, 2015 (B)",Netflix-What Happened Miss Simone : Online,71.4,0,0,0,0,0,0,71.4,0,0,0,0
"WEEK OF OCT 26, 2015 (B)",Netflix-Winter On Fire : Online,80.6,0,0,0,0,80.6,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Netflix : Online,9.7,0,0,0,9.7,0,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Netflix-Beasts Of No Nation : Online,9.1,0,0,0,9.1,0,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Netflix-La Familia PLuche : Online,50.5,0,0,0,50.5,0,0,0,0,0,0,0
"WEEK OF NOV 02, 2015 (B)",Netflix-Master Of None : Online,269.7,109.4,0,0,0,0,0,160.3,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Netflix : Online,5,0,0,0,5,0,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Netflix-La Familia PLuche : Online,46.2,0,0,0,46.2,0,0,0,0,0,0,0
"WEEK OF NOV 09, 2015 (B)",Netflix-Master Of None : Online,604.6,572.2,0,31.6,0.8,0,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Netflix : Online,3.5,0,0,0,3.5,0,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Netflix-Aziz Ansari Master Of None : Online,222.2,0,0,0,0,222.2,0,0,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Netflix-Beasts Of No Nation : Online,160.3,0,0,0,0,0,0,160.3,0,0,0,0
"WEEK OF NOV 16, 2015 (B)",Netflix-Jessica Jones : Online,597.5,594.8,0,0,0,0,0,0,2.7,0,0,0
"WEEK OF NOV 16, 2015 (B)",Netflix-La Familia PLuche : Online,34.4,0,0,0,34.4,0,0,0,0,0,0,0
